CardID,Name,Type,Faction,EnergyCost,Power,Health,Ability,Rarity,ShipSlot,CompatibleShips,Description
SH01,Rustwind Scrapper,Ship,Scrappers,,,20,Units cost 1 less energy,Starter,,,Light scavenger vessel
SH02,Void Skimmer,Ship,Void,,,18,Corrupted units gain +1 power,Starter,,,Phase-shifting rift ship
SH03,Drift Hauler,Ship,Nomads,,,22,Gain extra cards from rift wins,Rare,,,Cargo salvager
SH04,Bastion Frame,Ship,Sentinels,,,24,Units gain +1 health,Rare,,,Heavy armored hull
SH05,Rift Prowler,Ship,Wild,,,19,First fracture each turn costs 0,Epic,,,Rift predator craft
SH06,Starbreaker Hull,Ship,Void,,,25,Corrupted enemies deal -1 damage,Legendary,,,Ancient war relic
SP01,Overcharged Engine Core,Ship Part,,,,,+1 energy each turn,Rare,Engine,All,
SP02,Rift Jump Engine,Ship Part,,,,,Draw 1 card on turn start,Rare,Engine,Void/Nomads,
SP03,Ion Thruster Bank,Ship Part,,,,,Units gain +1 attack first turn,Uncommon,Engine,Scrappers,
SP04,Pulse Cannon Array,Ship Part,,,,,Ships gain +2 attack,Rare,Weapon,All,
SP05,Corruption Beam Emitter,Ship Part,,,,,Corrupt enemy with highest power,Epic,Weapon,Void,
SP06,Scrap Railgun,Ship Part,,,,,Units deal +1 damage to Nexus,Uncommon,Weapon,Scrappers,
SP07,Adaptive Shield Matrix,Ship Part,,,,,Ship takes -1 damage,Rare,Shield,All,
SP08,Rift Barrier Field,Ship Part,,,,,Prevent first fracture each game,Rare,Shield,Nomads,
SP09,Overload Reflector,Ship Part,,,,,Reflect 1 damage,Epic,Shield,Sentinels,
SP10,Long Range Scanner,Ship Part,,,,,See opponent next draw,Uncommon,Sensor,All,
SP11,Rift Mapping Array,Ship Part,,,,,Increase loot chance in Rift,Rare,Sensor,Nomads,
SP12,Corruption Radar,Ship Part,,,,,Corrupted enemies revealed,Rare,Sensor,Void,
SP13,Reinforced Hull Plates,Ship Part,,,,,Ship gains +5 health,Rare,Hull,All,
SP14,Void Reactive Armor,Ship Part,,,,,Corrupted damage reduced,Epic,Hull,Void,
SP15,Scrap Patch Framework,Ship Part,,,,,Heal 2 each turn,Rare,Hull,Scrappers,
SP16,Drift Stabilizer,Ship Part,,,,,Reduce fracture effects,Uncommon,Engine,Nomads,
SP17,Gravity Lance,Ship Part,,,,,Pull strongest enemy to attack,Epic,Weapon,All,
SP18,Salvage Drone Bay,Ship Part,,,,,Gain bonus card after win,Rare,Sensor,Scrappers,
SP19,Nexus Pulse Reactor,Ship Part,,,,,Generate extra energy every 2 turns,Epic,Engine,All,
SP20,Quantum Hull Core,Ship Part,,,,,Ship cannot drop below 1 HP once,Legendary,Hull,All,
U01,Rustwind Scout,Unit,Scrappers,2,3,1,Strike: +1 Nexus damage,Common,,,
U02,Scrapblade Raider,Unit,Scrappers,3,4,2,+1 power when attacking,Common,,,
U03,Salvage Engineer,Unit,Scrappers,2,2,3,Repair ship for 1,Common,,,
U04,Rift Scavenger,Unit,Scrappers,3,3,3,Draw card on kill,Uncommon,,,
U05,Corrupted Voidling,Unit,Void,2,3,2,Corrupt enemy on death,Common,,,
U06,Void Reaper,Unit,Void,4,5,2,+1 power when enemy dies,Uncommon,,,
U07,Phase Stalker,Unit,Void,3,3,3,Cannot be targeted first turn,Rare,,,
U08,Nomad Ranger,Unit,Nomads,2,2,3,Draw card if rift active,Common,,,
U09,Drift Sniper,Unit,Nomads,3,4,2,Strike backline,Uncommon,,,
U10,Caravan Defender,Unit,Nomads,4,3,5,Guard,Common,,,
U11,Bastion Guard,Unit,Sentinels,3,2,5,Guard,Common,,,
U12,Iron Sentinel,Unit,Sentinels,5,5,6,Immune to first damage,Rare,,,
U13,Nexus Adept,Unit,Wild,3,3,3,Reduce fracture cost,Rare,,,
U14,Rift Beast,Unit,Wild,4,6,3,+1 attack each turn,Rare,,,
U15,Drift Predator,Unit,Wild,5,6,4,Strike twice if corrupted,Epic,,,
F01,Rift Surge,Fracture,,2,,,Draw 2 cards,Common,,,
F02,Gravity Collapse,Fracture,,3,,,Deal 3 damage to all units,Rare,,,
F03,Void Distortion,Fracture,,2,,,Corrupt random enemy,Common,,,
F04,Temporal Echo,Fracture,,4,,,Replay last unit ability,Rare,,,
F05,Energy Burst,Fracture,,1,,,Gain +2 energy next turn,Common,,,
F06,Rift Storm,Fracture,,5,,,Damage all enemies 4,Epic,,,
F07,Warp Pull,Fracture,,3,,,Move enemy to front line,Common,,,
F08,Cosmic Reversal,Fracture,,4,,,Swap attack and health,Rare,,,
F09,Entropy Wave,Fracture,,5,,,Destroy weakest enemy,Epic,,,
F10,Nexus Stabilize,Fracture,,2,,,Heal ship 4,Common,,,
B01,Devourer of Shards,Rift Boss,,,10,30,Consumes units to heal,Legendary,,,
B02,The Void Leviathan,Rift Boss,,,12,28,Corrupts units each turn,Legendary,,,
B03,Rift Hydra,Rift Boss,,,8,35,Spawns heads when damaged,Legendary,,,
B04,Nexus Guardian,Rift Boss,,,9,40,Blocks fractures,Legendary,,,
